question,answer,category,num_evidence,BM25,TF-IDF,SVM,FAISS,Time-Weighted,any_retriever_found
"What did Maria participate in last weekend before April 10, 2023?",a 5K charity run,4,1,0,0,0,0,0,0
What event did John volunteer at last weekend?,career fair at a local school,4,1,1,0,0,0,0,1
What did John do that put a strain on his wallet?,His car broke down,4,1,1,1,0,0,0,1
Where did John explore on a road trip last year?,Pacific Northwest,4,1,0,0,0,0,0,0
What topic has John been blogging about recently?,politics and the government,4,1,0,0,0,0,0,0
Why did John start blogging about politics and policies?,raise awareness and start conversations to create positive change,4,1,0,0,0,0,0,0
What was the focus of John's recent research and writing on his blog?,education reform and infrastructure development,4,1,0,0,0,0,0,0
What did John attend with his colleagues in March 2023?,a tech-for-good convention,2,1,0,0,0,0,0,0
How often does John work out with his family?,Three times a week,4,1,0,0,0,0,0,0
How has John's fitness improved since starting boot camps with his family?,"More energy, gains in strength and endurance",4,1,0,0,0,0,0,0
What kind of food did Maria have on her dinner spread iwth her mother?,"Salads, sandwiches, homemade desserts",4,1,0,0,0,0,0,0
What activity did Maria and her mom do together in May 2023?,Made dinner together,4,1,0,0,0,0,0,0
What did Maria do to feel closer to a community and her faith?,joined a nearby church,4,1,1,1,0,0,0,1
Why did Maria join a nearby church recently?,to feel closer to a community and her faith,4,1,1,1,0,0,0,1
What did John host for the veterans in May 2023 as part of the project?,a small party to share their stories,4,1,0,0,0,0,0,0
What did John and the veterans do during the small party?,share stories and make connections,4,1,1,1,0,1,0,1
What emotions did John feel during the small party with the veterans?,heartwarming,4,1,1,1,0,0,0,1
"What event is Maria getting ready for at the shelter on May 25, 2023?",fundraiser,4,1,1,1,0,0,0,1
What does Maria need to spread the word about for the fundraiser for the volunteer shelter?,chili cook-off,4,1,1,1,0,0,0,1
"What was the name of the pet that John had to say goodbye to on 3 June, 2023?",Max,4,1,1,1,0,0,0,1
How long was Max a part of John's family?,10 years,4,1,1,0,0,0,0,1
How does John plan to honor the memories of his beloved pet?,By considering adopting a rescue dog,4,1,0,0,0,0,0,0
What important values does John want to teach his kids through adopting a rescue dog?,Responsibility and compassion,4,1,1,1,1,1,1,1
"What new activity did Maria start recently, as mentioned on 3 June, 2023?",volunteering at a local dog shelter once a month,4,1,0,0,0,0,0,0
What did Maria say it was like being at the waterfall in Oregon?,Like being in a fairy tale,4,1,0,0,0,0,0,0
What does Maria say she feels when doing upside-down yoga poses?,Free and light,4,1,1,1,1,0,0,1
"What exciting news did Maria share on 16 June, 2023?",joined a gym,4,1,0,0,0,0,0,0
What yoga activity has Maria been trying to improve her strength and endurance?,kundalini yoga,4,1,1,1,0,1,0,1
What did John recently get promoted to?,assistant manager,4,1,0,0,0,0,0,0
What was one of the biggest challenges John faced in his journey to becoming assistant manager?,self-doubt,4,1,0,0,0,0,0,0
How does John describe the support he received during his journey to becoming assistant manager?,having support at home and his own grit,4,1,0,0,0,0,0,0
What kind of event did John and his family attend in June 2023?,live music event,4,1,0,0,0,0,0,0
Why did Maria need to help her cousin find a new place to live?,Her cousin had to leave and find a new place in a hurry.,4,1,1,1,0,0,0,1
What event did John participate in to show support for veterans' rights?,marching event,4,1,1,1,1,1,0,1
What inspired John to join the marching event for veterans' rights?,Respect for the military and the desire to show support,4,1,0,0,1,0,0,1
How often does John get to see sunsets like the one he shared with Maria?,At least once a week,4,1,0,0,0,1,0,1
"What natural disaster affected John's old area on 7 July, 2023?",Flood,4,1,0,0,0,1,1,1
How did the flood impact the homes in John's old area?,Lots of homes were ruined.,4,1,1,1,1,1,1,1
"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",Flood in John's old area,4,1,0,0,0,0,0,0
"What did Maria plan to do later on the evening of 7 July, 2023?",have dinner with friends from the gym,4,1,0,0,0,0,0,0
What kind of activities did Maria do at the picnic with her church friends?,played games like charades and a scavenger hunt,4,1,0,0,0,0,0,0
What does John appreciate about the veteran's hospital visit?,the resilience of the veterans and their inspiring stories,4,1,0,0,0,0,0,0
What did John take away from visiting the veteran's hospital?,appreciation for giving back,4,1,1,1,0,1,0,1
Why did John feel inspired to join the military after the visit to the hospital?,seeing the resilience of the veterans,4,1,1,0,0,0,0,1
In what activity did Maria and her church friends participate in July 2023?,hiking,4,1,0,0,0,0,0,0
What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,4,1,1,1,0,0,0,1
Which activity has John done apart from yoga at the studio?,weight training,4,1,0,0,0,0,0,0
"What community service did Maria mention that she was involved in on 31 July, 2023?",volunteered at a homeless shelter,4,1,0,0,0,0,0,0
How did Maria start volunteering at the homeless shelter?,Witnessed a family struggling on the streets and reached out to the shelter,4,1,0,0,1,0,0,1
"What did John do the week before August 3, 2023 involving his kids?",Had a meaningful experience at a military memorial,4,1,0,0,0,0,0,0
How did John describe his kids' reaction at the military memorial?,awestruck and humbled,4,1,0,0,0,0,0,0
Why does Maria think it's important for younger generations to visit military memorials?,To remember and appreciate those who served,4,1,1,1,1,1,0,1
What does John believe is important for children regarding veterans?,Teaching them to respect and appreciate those who served,4,1,0,0,0,0,0,0
What happened to John's job in August 2023?,John lost his job at the mechanical engineering company.,4,1,0,1,0,1,0,1
What activity did Maria take up with her friends from church in August 2023?,community work,4,1,1,1,0,0,0,1
What did John do to help his community last year in his hometown?,Helped renovate a rundown community center.,4,1,0,0,0,0,0,0
What cause did the 5K charity run organized by John support?,veterans and their families,4,1,1,1,1,1,1,1
Who did John work with to raise awareness and funds for victims of domestic abuse?,a local organization,4,1,1,1,1,1,0,1
What recognition did Maria receive at the homeless shelter in August 2023?,a medal for volunteering,4,1,0,0,0,0,0,0
"What is the name of Maria's puppy she got two weeks before August 11, 2023?",Coco,4,1,1,1,0,1,0,1
What activity did John and Max enjoy together last summer?,Camping,4,1,1,1,0,0,0,1
How does John describe the camping trip with Max?,Peaceful and awesome,4,1,1,1,0,1,0,1
Why does John say he feels stuck and questioning his decisions and goals?,Not feeling like making much of an impact,4,1,1,1,0,0,0,1
What is the name of Maria's second puppy?,Shadow,4,1,0,0,0,0,0,0
How is Maria's new puppy adjusting to its new home?,doing great - learning commands and house training,4,1,0,0,0,0,0,0
What is John currently doing as a volunteer in August 2023?,mentoring students at a local school,4,1,0,0,0,0,0,0
What activities does John's family enjoy doing together?,"going for hikes, hanging out at the park, having picnics, playing board games, having movie nights",4,1,0,0,0,0,0,0
"What did the donations help John's community acquire on 16 August, 2023?",a brand new fire truck,4,1,0,0,0,0,0,0
Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,3,1,0,0,0,0,0,0
What kind of interests do Joanna and Nate share?,"Watching movies, making desserts",1,7,1,1,1,0,0,1
"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,2,1,0,0,0,0,0,0
When did Nate win his first video game tournament?,"the week before 21Janury, 2022",2,1,1,1,0,0,0,1
What pets wouldn't cause any discomfort to Joanna?,"Hairless cats or pigs,since they don't have fur, which is one of the main causes of Joanna's allergy.",3,1,0,0,0,0,0,0
What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.",1,2,1,1,1,0,0,1
How long has Nate had his first two turtles?,three years,2,1,0,0,0,0,0,0
When did Joanna finish her first screenplay?,"The Friday before 23January, 2022",2,1,0,0,0,0,0,0
When did Nate get his first two turtles?,2019,2,1,0,0,0,0,0,0
What major achievement did Joanna accomplish in January 2022?,finished her screenplay and printed it,2,1,0,0,0,0,0,0
What emotions is Joanna feeling about  the screenplay she submitted?,"Relief, excitement,worry, hope,anxiety.",1,2,0,0,0,0,0,0
What is Joanna allergic to?,"Most reptiles,animals with fur,cockroaches, dairy",1,3,1,1,0,0,0,1
What underlying condition might Joanna have based on her allergies?,asthma,3,2,0,0,0,0,0,0
When did Joanna have an audition for a writing gig?,"23 March, 2022.",2,1,1,1,0,0,0,1
What nickname does Nate use for Joanna?,Jo,3,1,0,0,0,0,0,0
When did Nate get purple hair?,"The week before 15April, 2022.",2,1,1,1,0,0,0,1
What physical transformation did Nate undergo in April 2022?,dyed his hair purple,2,2,0,0,0,0,0,0
"What movie did Joanna watch on 1 May, 2022?",Lord of the Rings,2,1,0,0,0,0,0,0
Which outdoor spot did Joanna visit in May?,Whispering Falls waterfall,2,1,0,0,0,0,0,0
How many times has Joanna found new hiking trails?,twice,1,2,1,1,0,1,0,1
When did Nate adopt Max?,May 2022,2,1,0,0,0,0,0,0
Who was the new addition to Nate's family in May 2022?,Max,2,1,1,1,0,0,0,1
When did Joanna start writing her third screenplay?,May 2022,2,2,1,0,0,0,0,1
Which of Joanna's screenplay were rejected from production companies?,"first screenplay on drama and romance, third screenplay on loss identity and connection",1,5,1,1,1,1,0,1
When is Nate hosting a gaming party?,"The weekend after 3June, 2022.",2,1,1,1,0,0,0,1
When did Joanna hike with her buddies?,"The weekend after 3June, 2022.",2,1,0,0,0,0,0,0
When did Nate win his third tourney?,"The week before 3June, 2022",2,1,0,0,0,0,0,0
What places has Joanna submitted her work to?,"film contest, film festival.",1,2,0,0,0,0,0,0
When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",2,1,1,1,1,1,0,1
When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",2,1,0,1,0,0,0,1
What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal",1,4,0,0,0,0,0,0
When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.",2,1,1,1,0,0,0,1
Where did Joanna travel to in July 2022?,Woodhaven,2,1,0,0,0,0,0,0
When did someone write Joanna a touching letter?,"The week before 14August, 2022.",2,1,0,0,0,0,0,0
What book recommendations has Joanna given to Nate?,"""Little Women"",'A Court of Thorns andRoses'.",1,3,0,0,0,0,0,0
When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",2,1,1,1,0,0,0,1
When did Joanna share her book with her writers group?,"The week before 22August, 2022.",2,1,1,1,0,0,0,1
When did Nate win an international tournament?,"21 August, 2022",2,1,1,1,0,0,0,1
When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022",2,1,1,1,0,0,0,1
When did Nate attend a cooking show?,"The Monday before 14September, 2022",2,1,0,0,0,0,0,0
When did Joanna's laptop crash?,"The week before 14September, 2022",2,1,1,1,1,1,0,1
When did Joanna make a chocolate tart with raspberries?,"5 October, 2022",2,1,0,0,0,0,0,0
What movies have both Joanna and Nate seen?,"""Little Women"", ""Lord of the Rings""",1,3,0,0,0,0,0,0
How long did it take for Joanna to finish writing her book?,four months,2,2,0,0,0,0,0,0
When did Nate win a lot of money in a video game tournament?,September 2022,2,1,1,1,0,0,0,1
When did Joanna finish up the writing for her book?,"The week before 6October, 2022",2,1,0,0,0,0,0,0
What board games has Nate played?,"Chess, Catan.",1,2,0,0,0,0,0,0
What places has Nate met new people?,A tournament and agaming convention.,1,2,1,0,0,0,0,1
When did Nate go to a convention and meet new people?,"The Friday before 9October, 2022.",2,1,0,0,0,0,0,0
How many times has Joanna's scripts been rejected?,Twice,1,2,0,0,1,0,0,1
What is something Nate gave to Joanna that brings her a lot of joy?,stuffed toy pup,1,2,0,0,0,0,0,0
When did Nate get Tilly for Joanna?,"25 May, 2022",1,2,0,0,0,0,0,0
How many of Joanna's writing have made it to the big screen?,two,1,2,0,0,0,0,0,0
How many times has Nate taken his turtles on a walk?,Twice.,1,2,1,1,1,1,0,1
When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",2,1,0,0,0,0,0,0
What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination",1,6,0,0,0,0,0,0
What animal do both Nate and Joanna like?,Turtles.,1,2,0,0,0,0,0,0
When did Joanna plan to go over to Nate's and share recipes?,"5 November, 2022.",2,1,0,0,0,0,0,0
What things has Nate reccomended to Joanna?,"A pet,""The Lord of the Rings"" movies,a dragon book series,coconut flavoring,""Project Hail Mary"" book,Xenoblade Chronicles, dairy-free margarine, coconut oil",1,7,0,0,0,0,0,0
What does Joanna do to remember happy memories?,"Hangs them on a corkboard, writes themin a notebook.",1,2,0,0,0,0,0,0
What Console does Nate own?,"A Nintendo Switch; since the game ""Xenoblade 2"" is made for this console.",3,1,0,0,0,0,0,0
What mediums does Nate use to play games?,"Gamecube, PC,Playstation.",1,3,0,0,0,0,0,0
How many letters has Joanna recieved?,Two,1,2,0,0,0,0,0,0
What video games does Nate play?,"Valorant, Counter Strike:Global Offensive,Xenoblade Chronicles, StreetFighter, Cyberpunk 2077",1,5,0,0,0,0,0,0
When did Nate win a big Valorant tourney?,"The Saturday before 7November, 2022",2,1,0,1,0,0,0,1
Which torunament did Nate win in the beginning of November 2022?,Valorant,2,1,0,0,0,0,0,0
What alternative career might Nate consider after gaming?,"an animalkeeper at a localzoo and workingwith turtles; as heknows a great dealabout turtles andhow to care for them,and he enjoys it.",3,4,0,0,0,0,0,0
What pets does Nate have?,A dog and threeturtles.,1,3,0,0,0,0,0,0
How many hikes has Joanna been on?,Four,3,4,0,0,0,0,0,0
How many turtles does Nate have?,Three,1,2,0,0,0,0,0,0
What activities does Nate do with his turtles?,"takes them onwalks, holds them,feeds themstrawberries, givesthem baths.",1,3,0,0,0,0,0,0
What do both Joanna and Nate appreciate the beauty of?,Nature,1,2,1,0,0,0,0,1
When did Joanna plan on going to Nate's to watch him play with his turtles?,"10 November, 2022",2,1,0,0,0,0,0,0
What state did Joanna visit in summer 2021?,Indiana,3,1,0,0,0,0,0,0
What recommendations has Nate received from Joanna?,"""Eternal Sunshine of the Spotless Mind"" movie, ""A Court of Thorns and Roses"" book, pointers for making living room comfy, starting a cork board for memories, ""Little Women"" movie",1,7,0,0,0,0,0,0
What are Nate's favorite desserts?,"coconut milk icecream, dairy-free chocolate cake with berries, chocolate and mixed-berry icecream, dairy-free chocolate mousse",1,4,0,0,0,0,0,0
How has Nate tried to disburse his vegan ice-cream recipes?,"teaching others, cooking show",1,2,1,1,0,1,0,1
When did Nate win his second tournament?,"The week before 2 May, 2022.",2,1,1,1,0,0,0,1
How many video game tournaments has Nate participated in?,nine,1,9,1,1,0,0,0,1
How many screenplays has Joanna written?,three,1,5,0,1,0,0,0,1
How many tournaments has Nate won?,seven,1,7,1,1,0,0,0,1
What recipes has Joanna made?,"dairy free vanilla cake with strawberry filling and coconut cream frosting, parfait, strawberry chocolate cake, chocolate coconut cupcakes, chocolate raspberry tart, chocolate cake with raspberries, blueberry cheesecake bars",1,9,1,0,0,0,0,1
What recipes has Nate made?,"coconut milk icecream, chocolate and vanilla swirl",1,2,0,0,0,0,0,0
What are the skills that Nate has helped others learn?,"coconut milk ice cream recipe, reset high scores, tips to improve gaming skills",1,3,0,0,0,0,0,0
Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,No; because both of them faced setbacks in their career,3,2,1,0,0,0,0,1
What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,filmmaker.,3,1,0,0,0,0,0,0
When did Nate take his turtles to the beach?,"10 November, 2022",2,1,1,0,0,0,0,1
What state did Nate visit?,Florida,3,1,0,0,0,0,0,0
What is one of Joanna's favorite movies?,"""Eternal Sunshineof the Spotless Mind""",4,3,0,0,0,0,0,0
What color did Nate choose for his hair?,purple,4,2,1,1,0,0,0,1
What is Nate's favorite movie trilogy?,Lord of the Rings,4,1,0,0,0,0,0,0
What is Nate's favorite book series about?,dragons,4,1,0,0,0,0,0,0
What kind of lighting does Nate's gaming room have?,red and purple lighting,4,1,0,0,0,0,0,0
What game was the second tournament that Nate won based on?,Street Fighter,4,2,1,1,0,0,0,1
What is Joanna's third screenplay about?,"loss, identity, and connection",4,2,1,1,0,0,0,1
What is Nate's favorite video game?,Xenoblade Chronicles,4,2,0,0,0,0,0,0
What type of movies does Nate enjoy watching the most?,action and sci-fi,4,1,0,0,0,0,0,0
"What did Joanna just finish last Friday on 23 January, 2022?",screenplay,4,1,0,0,0,0,0,0
What genre is Joanna's first screenplay?,drama and romance,4,1,0,0,0,0,0,0
What are Joanna's plans for her finished screenplay in January 2022?,submit it to film festivals and get producers and directors to check it out,4,1,0,0,0,0,0,0
For how long has Nate had his turtles?,3 years,4,1,0,0,0,0,0,0
What did Nate think of the coconut milk ice cream he made?,"Super good, rich and creamy",4,1,0,0,0,0,0,0
Which dairy-free dessert flavors does Nate enjoy?,chocolate and mixed berry,4,1,0,0,0,0,0,0
"What did Joanna recently watch and recommend to Nate on February 7, 2022?","""Little Women""",4,1,0,0,0,0,0,0
"What is ""Little Women"" about according to Joanna?","Sisterhood, love, and reaching for your dreams",4,1,1,1,0,0,0,1
"What flavor of ice cream did Nate make for his friend on 25 February, 2022?",chocolate and vanilla swirl,4,1,0,0,0,0,0,0
"What inspired Joanna's new screenplay on 25 February, 2022?",personal experiences and her own journey of self-discovery,4,1,0,0,0,0,0,0
Why does Nate like turtles as pets?,Their slow pace and calming nature,4,1,0,0,0,0,0,0
How does Nate describe the process of taking care of turtles?,"Not tough; keep their area clean, feed them properly, give them enough light.",4,1,0,0,0,0,0,0
What was Joanna's audition for?,writing gig,4,1,1,1,0,0,0,1
Why did Nate choose the hair color he did?,Bright and bold - like him,4,1,0,0,0,0,0,0
What are the main ingredients of the ice cream recipe shared by Nate?,"Coconut milk, vanilla extract, sugar, salt",4,1,0,0,1,0,0,1
What is Joanna's project called in the writers group?,"""Finding Home""",4,1,0,0,0,0,0,0
What is Nate's favorite genre of movies?,Fantasy and sci-fi,4,1,0,0,0,0,0,0
What kind of books does Nate enjoy?,Adventures and magic,4,1,0,0,0,0,0,0
What kind of films does Joanna enjoy?,Dramas and emotionally-driven films,4,1,1,1,0,0,0,1
Which activity helps Nate escape and stimulates his imagination?,watching fantasy and sci-fi movies,4,1,1,1,0,0,0,1
What filling did Joanna use in the cake she made recently in May 2022?,strawberry,4,1,0,0,0,0,0,0
What kind of frosting did Joanna use on the cake she made recently in May 2022?,coconut cream,4,1,0,0,0,0,0,0
What does Nate feel he could do when out in cool places like Whispering Falls?,write a whole movie,4,1,1,1,0,0,0,1
What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?,Start thinking about a drama and publish a screenplay,4,1,0,0,0,0,0,0
Who invited Nate to join her on the trails sometime?,Joanna,4,1,1,1,0,0,0,1
"What did Nate do for Joanna on 25 May, 2022?",get her a stuffed animal,4,1,0,0,0,0,0,0
How does Nate describe the stuffed animal he got for Joanna?,A stuffed animal to remind you of the good vibes,4,1,1,1,0,0,0,1
What event is Nate organizing in June 2022?,A gaming party,4,1,0,0,0,0,0,0
Who did Nate plan to invite to his gaming party in June 2022?,"Tournament friends, old friends, teammates",4,1,0,0,0,0,0,0
What special items did Nate get for everyone at his gaming party?,Custom controller decorations,4,1,0,0,0,0,0,0
What did Joanna write yesterday that appeared on the big screen?,screenplay bits,4,1,1,1,0,0,0,1
What superhero is Joanna a fan of?,Spider-Man,4,1,0,1,0,0,0,1
Which superhero toy figure does Nate share a photo of?,Iron Man,4,1,0,0,0,0,0,0
What is displayed on Joanna's cork board for motivation and creativity?,"inspiring quotes, photos, and little keepsakes",4,1,1,1,1,1,0,1
What does the photo on Joanna's cork board remind her of?,love and encouragement from her family,4,1,1,1,0,1,0,1
What did Nate make and share with his vegan diet group?,vegan ice cream,4,1,1,1,0,0,0,1
How many people attended the gaming party hosted by Nate in June 2022?,7,4,1,0,1,0,0,0,1
What recipe Nate offer to share with Joanna?,vegan ice cream recipe,4,1,0,0,0,0,0,0
What did Joanna plan to do with the recipe Nate promised to share?,make it for her family,4,1,0,0,0,0,0,0
"How many video game tournaments has Nate won by July 10, 2022?",Four,4,1,0,0,0,1,0,1
Where did Joanna go for a road trip for research?,Woodhaven,4,1,0,0,0,0,0,0
What did Joanna discover at the library in Woodhaven?,cool old book collection,4,1,1,1,0,0,0,1
What specific themes are explored in Joanna's new book?,"loss, redemption, and forgiveness",4,1,0,0,0,0,0,0
What inspired Joanna's new script in July 2022?,Woodhaven's interesting past and people,4,1,0,0,0,0,0,0
What did Nate do while Joanna was on her road trip?,Won a video game tournament,4,1,0,0,0,0,0,0
What does Nate do that he loves and can make money from?,Competing in video game tournaments,4,1,0,0,0,0,0,0
How did Joanna feel when someone wrote her a letter after reading her blog post?,Touched,4,1,1,1,0,0,0,1
What kind of impact does Joanna hope to have with her writing?,share her stories and hopefully have an impact,4,1,0,0,0,0,0,0
What kind of content did Joanna share that someone wrote her a letter about?,A blog post about a hard moment in her life,4,1,1,1,0,0,0,1
What motivates Joanna to keep writing even on tough days?,Knowing that her writing can make a difference,4,1,1,0,0,0,0,1
What type of ice cream does Joanna mention that Nate makes and is delicious?,Coconut milk ice cream,4,1,0,0,1,1,0,1
How did Nate feel about sharing his love for dairy-free desserts with Joanna?,Happy to share,4,1,0,0,0,0,0,0
What did Joanna share with her writers group in August 2022?,her book,4,1,1,1,0,0,0,1
How did Joanna celebrate after sharing her book with her writers group?,making a delicious treat,4,1,0,0,0,0,0,0
How did Nate celebrate winning the international tournament?,Taking time off to chill with pets,4,1,0,0,0,0,0,0
Why is Joanna experimenting with dairy-free options in her dessert recipes?,lactose intolerance,4,1,1,0,1,0,0,1
What substitution does Nate suggest for butter in dairy-free baking?,dairy-free margarine or coconut oil,4,1,1,1,1,1,0,1
What type of show did Nate host where he taught vegan ice cream recipes?,a cooking show,4,1,1,1,1,1,0,1
What is Nate's favorite dish from the cooking show he hosted?,Coconut milk ice cream,4,1,0,0,0,0,0,0
What is one of Nate's favorite dairy-free treats besides coconut milk ice cream?,dairy-free chocolate mousse,4,1,1,1,0,1,0,1
"What dessert did Joanna share a photo of that has an almond flour crust, chocolate ganache, and fresh raspberries?",chocolate raspberry tart,4,1,1,1,1,0,0,1
What kind of cake did Joanna share a photo of that she likes making for birthdays and special days?,chocolate cake with raspberries,4,1,0,0,0,0,0,0
"What two main ingredients are part of the dessert Joanna shared a photo of with blueberries, coconut milk, and a gluten-free crust?",blueberries and coconut milk,4,1,1,1,1,1,0,1
"What movie did Nate recently watch and enjoy on October 6, 2022?",Little Women,4,1,0,0,0,0,0,0
What did Joanna make for one of the ladies at her writing club?,a bookmark,4,1,1,1,0,0,0,1
"What game did Nate play at the game convention he attended on 9 October, 2022?",Catan,4,1,0,0,0,0,0,0
What movie has Nate recently seen that blew his mind?,"""Inception""",4,1,1,1,0,0,0,1
"What game has Nate been playing nonstop with a futuristic setting and gameplay on October 9, 2022?",Cyberpunk 2077,4,1,1,1,1,1,0,1
What did Nate share a photo of when mentioning unwinding at home?,a bookcase filled with dvds and movies,4,1,0,0,0,0,0,0
How did Joanna describe the classic movie he watched?,gripping with great actors,4,1,1,1,0,0,0,1
What does Joanna recommend to make a living room comfy like hers?,"couch for multiple people, fluffy blanket, lights that can be dimmed",4,1,0,0,0,0,0,0
What helps Joanna stay focused and brings her joy?,stuffed animal dog named Tilly,4,1,1,1,0,0,0,1
What does Joanna do while she writes?,have a stuffed animal dog named Tilly with her,4,1,0,0,0,0,0,0
Why did Joanna name the stuffed animal dog Tilly?,after a dog she had in Michigan,4,1,0,0,1,0,0,1
What does Joanna do after receiving a rejection from a production company?,keep grinding and moving ahead,4,1,0,0,0,0,0,0
How does Nate feel about Joanna's ability to bounce back from setbacks?,respect Joanna for being able to bounce back,4,1,1,1,0,0,0,1
What encouragement does Nate give to Joanna after her setback?,"rejections don't define her, keep grinding and she'll find the perfect opportunity",4,1,0,0,0,0,0,0
What does Nate rely on for cheer and joy?,his turtles,4,1,0,0,0,0,0,0
What does Joanna use to remember her dog from Michigan?,naming a stuffed animal dog Tilly,4,1,1,1,1,0,0,1
"What did Joanna contribute to that was shown on the big screen on the Sunday before October 25, 2022?",movie script,4,1,1,1,0,0,0,1
What inspires Joanna to create drawings of her characters?,visuals to help bring the characters alive in her head so she can write better,4,1,0,0,0,0,0,0
Where does Joanna get her ideas for the characters from?,"people she knows, things she saw, her imagination",4,1,0,0,0,0,0,0
"How did Joanna feel on October 25, 2022 about seeing her characters come alive on the big screen?",surreal and cool,4,1,1,1,0,0,0,1
What type of diet do Nate's turtles have?,"combination of vegetables, fruits, and insects",4,1,0,0,1,1,1,1
What ingredient did Nate use to make the ice cream lactose-free?,coconut milk,4,1,0,1,1,1,0,1
What did Joanna find in old notebooks last week that prompted her to reflect on her progress as a writer?,early writings,4,1,0,1,0,0,0,1
"What game is Nate currently playing and recommends to others on November 7, 2022?","""Xenoblade Chronicles""",4,1,0,0,0,0,0,0
What did Joanna receive from her brother that brought back childhood memories?,a handwritten letter,4,1,0,0,0,0,0,0
"What is the type of game ""Xenoblade Chronicles"" that Nate is playing?",fantasy RPG,4,1,0,0,0,0,0,0
"What dish did Nate make on 9 November, 2022?",Homemade coconut ice cream,4,1,0,0,0,0,0,0
"What project is Joanna working on in her notebook on November 9, 2022?",A suspenseful thriller set in a small Midwestern town,4,1,1,0,0,0,0,1
"What is Nate creating for YouTube on 9 November, 2022?",gaming content,4,1,1,1,1,0,0,1
What inspired Nate to start making gaming videos?,Love of gaming and connecting with others who enjoy it too,4,1,0,0,0,0,0,0
What new content is Nate creating for YouTube?,Gaming videos,4,1,1,1,1,1,0,1
What advice does Joanna give to Nate about making YouTube videos?,Watch other people's videos to understand what the audience likes,4,1,0,1,1,1,0,1
What did Joanna take a picture of near Fort Wayne last summer?,Sunset,4,1,1,1,0,1,0,1
What inspired Joanna to take a picture of the sunset in the field near Fort Wayne?,The incredible sunset and surrounding beauty,4,1,1,1,1,1,0,1
Why did Nate get a third turtle?,He saw another one at a pet store and wanted to get it,4,1,0,0,1,0,0,1
What does Nate want to do when he goes over to Joanna's place?,Watch one of Joanna's movies together or go to the park,4,1,0,0,0,0,0,0
What did Nate take to the beach in Tampa?,turtles,4,1,1,1,0,0,0,1
What does Nate love most about having turtles?,They make him feel calm and don't require much looking after,4,1,0,0,0,0,0,0
What did Nate share a photo of as a part of his experimentation in November 2022?,colorful bowls of coconut milk ice cream,4,1,0,0,0,0,0,0
what are John's goals with regards to his basketball career?,"improve shooting percentage, win a championship",1,3,0,0,0,1,0,1
What are John's goals for his career that are not related to his basketball skills?,"get endorsements, build his brand, do charity work",1,2,0,0,0,0,0,0
What items does John collect?,"sneakers, fantasy movie DVDs, jerseys",1,3,1,1,0,0,0,1
Would Tim enjoy reading books by C. S. Lewis or John Greene?,C. S.Lewis,3,3,0,0,0,0,0,0
What books has Tim read?,"Harry Potter, Game of Thrones, the Name of the Wind, The Alchemist, The Hobbit, A Dance with Dragons, and the Wheel of Time.",1,7,0,0,0,0,0,0
"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",House of MinaLima,3,1,0,0,0,0,0,0
In which month's game did John achieve a career-high score in points?,June 2023,2,1,1,0,1,1,0,1
Which geographical locations has Tim been to?,"California, London, the Smoky Mountains",1,3,0,0,0,0,0,0
Which outdoor gear company likely signed up John for an endorsement deal?,Under Armour,3,2,1,1,0,1,0,1
Which endorsement deals has John been offered?,"basketball shoes and gear deal with Nike, potential sponsorship with Gatorade, Moxie a popular beverage company, outdoor gear company",1,4,0,1,0,0,0,1
When was John in Seattle for a game?,"early August, 2023",2,2,1,1,0,0,0,1
What sports does John like besides basketball?,surfing,1,4,0,0,0,0,0,0
What year did John start surfing?,2018,2,1,0,1,0,1,0,1
What does Tim do to escape reality?,Read fantasy books.,1,2,1,1,0,0,0,1
What kind of writing does Tim do?,"comments on favorite books in a fantasy literature forum, articles on fantasy novels, studying characters, themes, and making book recommendations, writing a fantasy novel",1,4,0,0,0,0,0,0
Who is Anthony?,"likely John's friend, colleague or family",3,1,0,1,0,1,0,1
After how many weeks did Tim reconnect with the fellow Harry Potter fan from California?,three weeks,2,2,1,1,1,1,0,1
How many games has John mentioned winning?,6,1,5,0,0,0,0,0,0
